ai	whom, who, anyone
anh	English, the United Kingdom, England
anh trai	older brother, elder brother
anh ấy	he, him
ba	third, father, dad
bao	bag
bay	flies, blown, fly
biết	knows, know, knowing
buồn	are sad, sorry, was sad
buổi	the, session
buổi sáng	morning
buổi tối	evening, night
bà	grandmother
bàn	the table, table, the desk
bác sĩ	doctor
bán	sell, sells
bánh	cake, cookie, pie
bánh mì	bread
báo	newspaper, journal, paper
bát	bowl
bây giờ	now, moment, it
bé gái	girl
bình thường	normal, usual
bò	ox, cow, bull
bơi	swim, swims, swimming
bướng bỉnh	stubborn
bạn	friends, you, friendship
bạn học	classmate
bảo thủ	conservative
bảo vệ	protect, protects
bảy	seven
bất cẩn	careless
bất lịch sự	impolite
bất lợi	disadvantage, disadvantageous
bật	turn on, on
bắc	north
bắt đầu	begin, start, starts
bằng	with, as, equals
bọn họ	they
bố	dad, father
bố mẹ	parents
bốn	four, 4
bồ đào nha	Portugal
bộ	(classifier for clothes), (classifier for sets), board
bởi vì	because
bữa	meals, meal
ca	mug, shift
ca sĩ	singer, singers
cam	orange
canh	soup
chai	bottle, bottles
chanh	lemon
chay	vegetarian, vegan
chia buồn	condole, condolence
chia sẻ	share
chim	bird
chim sẻ	sparrow
chiếc	the, ones
chiếc váy	skirt
chiếc áo	shirt
chiều	afternoon
cho	for, let, lets
cho phép	allow, allows, let
cho tôi hỏi	excuse me
chuyên nghiệp	professional
chuối	banana, bananas
chuồn chuồn	dragonfly
chuột	mouse
chào	greet, hello, greets
chào mừng	welcome
chào tạm biệt	bye, goodbye
châu	continent
chín	nine, 9
chó	dog
chú	uncle, you
chúc mừng	congratulate
chúc ngủ ngon	good night
chúng tôi	we, us
chơi	play, plays, playing
chạy	run, runs, running
chất lượng	quality, qualities
chậm	slow, slowly (when placed after verb), late
chị	sister, older sister, older sisters
chị gái	older sister
chồng	husband, husbands
chủ nhật	sunday
con	little, kid, child
con gái	daughter, girl
con trai	son, boy
cuối cùng	finally, last, final
cuốn	classifier of documents and stories, the, roll
cà chua	tomato, tomatoes
cà phê	coffee
cá	fish
cá sấu	alligator
các	(indicates plurality)
cái	the, a, (classifier)
câu	sentence
câu hỏi	question
câu trả lời	answer
cây tre	bamboo
có	is, there are, with
cô gái	the girl, girl, girls
cô ấy	she, her
công nhân	worker, workers, a worker
cùng	with, the same, together
căn nhà	house
cũ	are old, old, former
cũng	too, also, as well
cơm	rice
cười	smile, smile/smiles, laugh/laughs
cạnh tranh	compete, competing
cả	all, both, all over
cả tin	gullible, credulous
cảm ơn	thanks, thank you
cảnh sát	police, officers, officer
cần	need, require/requires (verb), need/needs (verb)
cần thiết	necessary
cẩn thận	be careful, look out, carefully
cậu bé	boy, The boy
cắn	bite
cố gắng	try, try (+ to infinitive), tries
cộng hoà séc	Czech Republic
cởi	take off
của	de, 's, of
cứ tự nhiên	help yourself
cửa hàng	store
cửa sổ	window, windows
diễn	show, perform, action
diễn viên	actor, actress
diễn viên hài	comedian
doanh nhân	businessman, entrepreneur, businesswoman
dài	long
dám	dare, dares
dê	goat
dì	aunt
dùng	use, using, uses
dũng cảm	brave, courageous
dơ	dirty
dơi	bat
dạo này bạn thế nào	what's up, how are you doing
dầu ăn	cooking oil
dễ	easy
dừng	stop, stops
em	you, younger brother, younger sister
em gái	younger sister
em trai	younger brother
ga	station, gas
ghi âm	record, records
ghét	hate, hates, hated
ghế	chair
gia đình	family
giao tiếp	communicate, communicating
giàu	rich
giày	shoes, shoe, the shoes
giáo viên	teacher
giây	second, seconds
giúp	help, helps
giường	bed
giấu	hide
giờ	hour, hours, now
giữ	keep
gà	chicken
gái	girl
gì	what, what are, what is
găng tay	glove
gương	mirror, example
gấu	bear
gặp	encountered, dealing, meeting
gặp lại sau	see you later
gọi	orders, call, order (food)
gửi	send, sends
hai	two
hay	well, in ... or, interesting
hay là	or
heo	pig
hiểu	understand, understood, understands
hiện tại	now, moment, currently
hiện đại	modern
hoàn hảo	perfect
hoặc	or, either...or
hy vọng	hope, hopes
hài hước	humorous, funny
hàn quốc	South Korea
hát	sing, sings, singing
hãy	let's, let, please
hè	summer
hôm nay	today
hôn	kiss
hôn nhân	marriage
hơn	more, than, more than
hướng	direction, heading
hạnh phúc	happiness, happy
hẹn gặp lại	see you later, see you again, see you
họ	they, they are, they're
họ hàng	relatives, relative
học	school, take lessons, to learn
học sinh	student
hỏi	ask, asks
hồng	pink
hỗ trợ	support, supports, supporting
hộ chiếu	passport
hợp tác	cooperate
khi	when, as, on
khi nào	when, when does, when are
khiêm tốn	humble, modest
khoai tây chiên	chips, French fries
khoác	coat, coats
khoẻ	well, strong, fine
khuyên	recommended, advises, advised
khách sạn	hotel, hotels
khó	hard, difficult
khóc	crying, cries, cry/cries
không	do not, no, weren't
không có gì	you're welcome
không phải	not, is not, are not
không phải là	not, wasn't, am not
khăn quàng	scarf, scarves
khẳng định	affirm
khỉ	monkey
kia	that, those, other
